FID1	IID1	FID2	IID2	MOST_LIKELY_REL	LIKELIHOOD_VECTOR	IBD0	IBD1	IBD2	PI_HAT	-1	POSSIBLE_RELS	LIKELIHOOD_CUTOFF
0	id15	0	id20	CGH	0.0,1.83735301711148e-22,2.339296374144449e-36,7.962086894183819e-34,9.64700835028799e-31,1.8373530074564865e-22	0.799	0.2	0.0	0.1001	-1	CGH	0.3
0	id16	0	id18	UN	0.0,4.04568136411392e-51,5.1509141998710615e-65,1.753177874216902e-62,2.124181991088948e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id16	0	id19	CGH	0.0,4.73872215096995e-14,6.033285624811096e-28,2.053503990906019e-25,2.4880625407506042e-22,4.738722126068729e-14	0.684	0.315	0.0	0.1575	-1	CGH	0.3
0	id16	0	id20	CGH	0.0,1.6571982743927e-20,2.1099254625656298e-34,7.181394866290691e-32,8.701107213616796e-29,1.6571982656843904e-20	0.778	0.221	0.0	0.1107	-1	CGH	0.3
0	id17	0	id18	UN	0.0,4.04568136411392e-51,5.1509141998710615e-65,1.753177874216902e-62,2.124181991088948e-59,4.045681342854517e-51	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id17	0	id19	CGH	0.0,1.45217985358423e-19,1.8488984068155755e-33,6.292956265093849e-31,7.624659520069279e-28,1.4521798459532592e-19	0.767	0.232	0.0	0.1164	-1	CGH	0.3
0	id17	0	id20	CGH	0.0,4.5149591709111e-22,5.74839321734273e-36,1.9565374388082167e-33,2.3705759545034675e-30,4.514959147185718e-22	0.795	0.204	0.0	0.1021	-1	CGH	0.3
0	id1	0	id3	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3
0	id1	0	id4	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3
0	id1	0	id5	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3
0	id2	0	id3	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3
0	id2	0	id4	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3
0	id2	0	id5	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3
0	id3	0	id5	FS	1.44953798006666e-120,0.999379714396915,0.000620285603084849,1.28561910370896e-16,2.10037199876922e-28,0	0.265	0.612	0.121	0.4282	-1	FS	0.3
0	id3	0	id7	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3
0	id3	0	id8	PC	0.999488504078663,1.54522754683251e-18,0.000511495920936024,4.00956454211562e-13,4.17142302950887e-27,0	0.0	1.0	0.0	0.5	-1	PC	0.3
